2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Distributed systems are fascinating.', 'Bob'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Kafka is awesome.', 'Alice'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Streaming data is fun.', 'Alice'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Have a great day!', 'Diana'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Streaming data is fun.', 'Alice'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('This is a buzz message.', 'Diana'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Data engineering is my passion.', 'Bob'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Have a great day!', 'Diana'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Kafka is awesome.', 'Alice'). Skipping.
2025-01-27 19:44:33,065 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Kafka is awesome.', 'Eve'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Have a great day!', 'Diana'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Buzz messages for everyone.', 'Charlie'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('This is a buzz message.', 'Charlie'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Streaming data is fun.', 'Alice'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Hello, Kafka world!', 'Diana'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Kafka is awesome.', 'Bob'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('I love Python!', 'Eve'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('JSON makes life easier.', 'Charlie'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('I love Python!', 'Charlie'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('I love Python!', 'Charlie'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('I love Python!', 'Diana'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Streaming data is fun.', 'Diana'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Data engineering is my passion.', 'Eve'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Buzz messages for everyone.', 'Eve'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('JSON makes life easier.', 'Eve'). Skipping.
